regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
vix,mid_vix,ENS-AVG,0.164763,0.167549,0.089828,40
vix,high_vix,ENS-AVG,0.000897,0.003868,0.000467,40
decade,2020s,ENS-AVG,0.158263,0.161573,0.07365,45
decade,2030s,ENS-AVG,-0.150071,-0.147451,-0.087643,75
full,all,ENS-MSE,-0.049926,-0.047363,-0.029869,120
nber,recession,ENS-MSE,-0.088162,-0.085884,-0.058155,20
nber,expansion,ENS-MSE,-0.041119,-0.038506,-0.024212,100
vix,low_vix,ENS-MSE,-0.30259,-0.300159,-0.189776,40
vix,mid_vix,ENS-MSE,0.165028,0.167549,0.0995,40
vix,high_vix,ENS-MSE,0.001161,0.003868,0.000668,40
decade,2020s,ENS-MSE,0.158543,0.161573,0.081592,45
decade,2030s,ENS-MSE,-0.149799,-0.147451,-0.096746,75
