regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
vix,mid_vix,GLM+H,-0.540499,-0.538517,-0.425794,40
vix,high_vix,GLM+H,0.250228,0.252035,0.211212,40
decade,2020s,GLM+H,0.547254,0.5494,0.391939,45
decade,2030s,GLM+H,-0.580901,-0.578982,-0.469512,75
full,all,GBRT+H,-0.188138,-0.185482,-0.109487,120
nber,recession,GBRT+H,0.345464,0.348766,0.161968,20
nber,expansion,GBRT+H,-0.27168,-0.269114,-0.163778,100
vix,low_vix,GBRT+H,-0.315043,-0.312172,-0.167837,40
vix,mid_vix,GBRT+H,-0.541188,-0.538517,-0.317533,40
vix,high_vix,GBRT+H,0.249588,0.252035,0.15691,40
decade,2020s,GBRT+H,0.546513,0.5494,0.291517,45
decade,2030s,GBRT+H,-0.581552,-0.578982,-0.350089,75
full,all,NN1,-0.187729,-0.185482,-0.129882,120
nber,recession,NN1,0.345966,0.348766,0.192829,20
nber,expansion,NN1,-0.271281,-0.269114,-0.194424,100
vix,low_vix,NN1,-0.314626,-0.312172,-0.199269,40
vix,mid_vix,NN1,-0.540748,-0.538517,-0.377201,40
vix,high_vix,NN1,0.249963,0.252035,0.186824,40
decade,2020s,NN1,0.546931,0.5494,0.346837,45
decade,2030s,NN1,-0.581139,-0.578982,-0.415913,75
full,all,NN2,-0.18782,-0.185482,-0.124604,120
nber,recession,NN2,0.345923,0.348766,0.184876,20
nber,expansion,NN2,-0.271377,-0.269114,-0.1865,100
vix,low_vix,NN2,-0.314752,-0.312172,-0.191158,40
vix,mid_vix,NN2,-0.540785,-0.538517,-0.361722,40
vix,high_vix,NN2,0.249851,0.252035,0.179067,40
decade,2020s,NN2,0.546837,0.5494,0.332524,45
decade,2030s,NN2,-0.581225,-0.578982,-0.398881,75
full,all,NN3,-0.187715,-0.185482,-0.131851,120
nber,recession,NN3,0.345988,0.348766,0.195777,20
nber,expansion,NN3,-0.271267,-0.269114,-0.197376,100
vix,low_vix,NN3,-0.31466,-0.312172,-0.202326,40
vix,mid_vix,NN3,-0.540712,-0.538517,-0.382918,40
vix,high_vix,NN3,0.249987,0.252035,0.189692,40
decade,2020s,NN3,0.546958,0.5494,0.352141,45
decade,2030s,NN3,-0.581134,-0.578982,-0.422245,75
full,all,NN4,-0.188554,-0.185482,-0.095447,120
nber,recession,NN4,0.345007,0.348766,0.140694,20
nber,expansion,NN4,-0.272086,-0.269114,-0.142676,100
vix,low_vix,NN4,-0.315586,-0.312172,-0.146243,40
vix,mid_vix,NN4,-0.54154,-0.538517,-0.276389,40
vix,high_vix,NN4,0.249227,0.252035,0.13629,40
decade,2020s,NN4,0.546036,0.5494,0.253354,45
decade,2030s,NN4,-0.58194,-0.578982,-0.304728,75
full,all,ENS-AVG,-0.187888,-0.185482,-0.123656,120
nber,recession,ENS-AVG,0.345733,0.348766,0.183304,20
nber,expansion,ENS-AVG,-0.271428,-0.269114,-0.185048,100
vix,low_vix,ENS-AVG,-0.314839,-0.312172,-0.189685,40
vix,mid_vix,ENS-AVG,-0.54087,-0.538517,-0.35889,40
vix,high_vix,ENS-AVG,0.249807,0.252035,0.177609,40
decade,2020s,ENS-AVG,0.546772,0.5494,0.329836,45
decade,2030s,ENS-AVG,-0.581303,-0.578982,-0.395751,75
full,all,ENS-MSE,-0.187994,-0.185482,-0.117179,120
nber,recession,ENS-MSE,0.345629,0.348766,0.173554,20
nber,expansion,ENS-MSE,-0.271534,-0.269114,-0.175325,100
vix,low_vix,ENS-MSE,-0.314942,-0.312172,-0.179709,40
vix,mid_vix,ENS-MSE,-0.540974,-0.538517,-0.339964,40
vix,high_vix,ENS-MSE,0.249697,0.252035,0.168138,40
decade,2020s,ENS-MSE,0.546753,0.5494,0.312376,45
decade,2030s,ENS-MSE,-0.581463,-0.578982,-0.374911,75
