regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
nber,recession,NN2,-0.223638,0.082332,-0.001121,20
nber,expansion,NN2,0.987755,1.266699,0.005479,100
vix,low_vix,NN2,1.410724,1.729896,0.006927,40
vix,mid_vix,NN2,0.155303,0.438505,0.00086,40
vix,high_vix,NN2,0.898915,1.148277,0.005351,40
decade,2020s,NN2,0.462763,0.765281,0.002367,45
decade,2030s,NN2,0.979135,1.248799,0.005587,75
full,all,NN3,0.879456,1.192751,0.004352,120
nber,recession,NN3,1.091553,1.366409,0.006025,20
nber,expansion,NN3,0.828174,1.149106,0.004017,100
vix,low_vix,NN3,-0.447689,-0.073999,-0.00185,40
vix,mid_vix,NN3,2.67955,3.065246,0.010868,40
vix,high_vix,NN3,0.689861,0.955816,0.004038,40
decade,2020s,NN3,0.768938,1.072245,0.003891,45
decade,2030s,NN3,0.942138,1.25967,0.004628,75
full,all,NN4,0.81798,1.092453,0.004601,120
nber,recession,NN4,0.28712,0.688425,0.001086,20
nber,expansion,NN4,0.896087,1.15787,0.005304,100
vix,low_vix,NN4,1.10054,1.357894,0.00676,40
vix,mid_vix,NN4,0.613122,0.939908,0.002899,40
vix,high_vix,NN4,0.692676,0.944885,0.004144,40
decade,2020s,NN4,0.835885,1.161167,0.003951,45
decade,2030s,NN4,0.81438,1.067053,0.004991,75
full,all,ENS-AVG,1.707572,1.983883,0.009598,120
nber,recession,ENS-AVG,3.295194,3.570739,0.01843,20
nber,expansion,ENS-AVG,1.420475,1.702449,0.007831,100
vix,low_vix,ENS-AVG,2.006133,2.288738,0.011068,40
vix,mid_vix,ENS-AVG,1.150507,1.439534,0.006222,40
vix,high_vix,ENS-AVG,1.937707,2.196271,0.011503,40
decade,2020s,ENS-AVG,1.631606,1.910392,0.009214,45
decade,2030s,ENS-AVG,1.742004,2.014962,0.009828,75
full,all,ENS-MSE,0.964958,1.286201,0.004599,120
nber,recession,ENS-MSE,-0.933772,-0.58143,-0.004109,20
nber,expansion,ENS-MSE,1.350052,1.675178,0.006341,100
vix,low_vix,ENS-MSE,1.206683,1.543552,0.005461,40
vix,mid_vix,ENS-MSE,0.899794,1.196403,0.004733,40
vix,high_vix,ENS-MSE,0.786048,1.114655,0.003603,40
decade,2020s,ENS-MSE,1.390524,1.715305,0.00667,45
decade,2030s,ENS-MSE,0.707631,1.027012,0.003357,75
