regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,n_months
vix,low_vix,GLM+H,-1.119074,-0.90624,-0.008451,40
vix,mid_vix,GLM+H,0.28281,0.493909,0.002086,40
vix,high_vix,GLM+H,-0.631799,-0.447319,-0.005251,40
decade,2020s,GLM+H,-0.880887,-0.676588,-0.006707,45
decade,2030s,GLM+H,-0.274349,-0.075751,-0.002171,75
full,all,GBRT+H,-0.111357,0.130345,-0.000715,120
nber,recession,GBRT+H,-0.087605,0.184726,-0.000506,20
nber,expansion,GBRT+H,-0.115208,0.120417,-0.000757,100
vix,low_vix,GBRT+H,-0.758329,-0.490352,-0.004458,40
vix,mid_vix,GBRT+H,0.712615,0.946231,0.004704,40
vix,high_vix,GBRT+H,-0.361214,-0.127153,-0.002391,40
decade,2020s,GBRT+H,-0.146048,0.086939,-0.000974,45
decade,2030s,GBRT+H,-0.088678,0.157002,-0.00056,75
full,all,NN1,-0.458811,-0.227176,-0.003048,120
nber,recession,NN1,-0.631029,-0.409667,-0.004355,20
nber,expansion,NN1,-0.420699,-0.188108,-0.002787,100
vix,low_vix,NN1,0.000439,0.229408,3e-06,40
vix,mid_vix,NN1,-0.431503,-0.206128,-0.002971,40
vix,high_vix,NN1,-0.969154,-0.729214,-0.006176,40
decade,2020s,NN1,-1.013754,-0.795372,-0.007124,45
decade,2030s,NN1,-0.094913,0.147682,-0.000602,75
full,all,NN2,0.360957,0.530961,0.003236,120
nber,recession,NN2,0.31615,0.461832,0.003261,20
nber,expansion,NN2,0.37016,0.545275,0.003231,100
vix,low_vix,NN2,0.469019,0.626002,0.004614,40
vix,mid_vix,NN2,0.689685,0.874634,0.005529,40
vix,high_vix,NN2,-0.047682,0.122511,-0.000433,40
decade,2020s,NN2,-0.199284,-0.037557,-0.001851,45
decade,2030s,NN2,0.721877,0.898587,0.006289,75
full,all,NN3,0.208491,0.456524,0.001296,120
nber,recession,NN3,1.405934,1.641341,0.00906,20
nber,expansion,NN3,-0.042163,0.211028,-0.000257,100
vix,low_vix,NN3,0.317641,0.569594,0.001976,40
vix,mid_vix,NN3,-0.199462,0.033444,-0.001314,40
vix,high_vix,NN3,0.546701,0.805728,0.003225,40
decade,2020s,NN3,0.723184,0.981824,0.004324,45
decade,2030s,NN3,-0.082366,0.160524,-0.000522,75
full,all,NN4,0.197955,0.394424,0.001569,120
nber,recession,NN4,-0.140807,0.076944,-0.001019,20
nber,expansion,NN4,0.258203,0.450357,0.002086,100
vix,low_vix,NN4,0.832731,1.039896,0.006151,40
vix,mid_vix,NN4,-0.075019,0.129654,-0.000573,40
vix,high_vix,NN4,-0.100111,0.081016,-0.000872,40
decade,2020s,NN4,0.284199,0.471279,0.002396,45
decade,2030s,NN4,0.139996,0.341639,0.001072,75
full,all,ENS-AVG,0.452311,0.669738,0.003257,120
nber,recession,ENS-AVG,-0.060709,0.12515,-0.000495,20
nber,expansion,ENS-AVG,0.570743,0.79538,0.004007,100
vix,low_vix,ENS-AVG,0.573041,0.766501,0.004649,40
vix,mid_vix,ENS-AVG,0.880143,1.119069,0.005814,40
vix,high_vix,ENS-AVG,-0.101372,0.126651,-0.000693,40
decade,2020s,ENS-AVG,-0.321603,-0.132389,-0.002622,45
decade,2030s,ENS-AVG,1.05875,1.30443,0.006784,75
full,all,ENS-MSE,0.699448,0.930068,0.004641,120
nber,recession,ENS-MSE,0.703556,0.906684,0.005477,20
nber,expansion,ENS-MSE,0.696355,0.932948,0.004474,100
vix,low_vix,ENS-MSE,1.468399,1.693469,0.010014,40
vix,mid_vix,ENS-MSE,0.389549,0.625276,0.002534,40
vix,high_vix,ENS-MSE,0.212762,0.44767,0.001375,40
decade,2020s,ENS-MSE,-0.283689,-0.025753,-0.001694,45
decade,2030s,ENS-MSE,1.240171,1.462356,0.008442,75
